2024 ASA Spring Elections

SubmissionId,"Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 1","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 2","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 3","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 4","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 5","Please rank your preferences for At Large Senator,with 1 being your most preferred option and 6 being your least preferred option. - 6","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 1","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 2","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 3","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 4","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 5","Please rank your choices for Second Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 6. - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 1","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 2","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 3","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 4","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 5","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 6","Please rank your choices for Third Year Senator,marking your most preferred candidate as 1 and your least preferred candidate as 7.  - 7","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 1","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 2","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 3","Please rank your preference for Fourth Year Senator,marking your most preferred choice as 1 and least preferred choice as 4. - 4","Please select and option for President/Vice President","Please select your choice for Secretary. ","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 1","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 2","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 3","Please rank your preferences for International Senator,with 1 being your most preferred candidate and 4 being your least preferred candidate. - 4"
"7180471","Amy Kim","Elijah Schipper","Juliann Seeley","Em Powers","May Utonwa Oji","Nyamal Changson","","","","","","","Gracen Juffer","Pierce Cunningham","Surafel Zeleke","Issie Ventura","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180472","Juliann Seeley","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","","","","","","","Gracen Juffer","Issie Ventura","Susana Gebrekidan","Surafel Zeleke","Pierce Cunningham","Asmeret Abebe","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180474","May Utonwa Oji","Nyamal Changson","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Anna Pirrung","Elliana Pulse","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180480","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","Nyamal Changson","May Utonwa Oji","","","","","","","Gracen Juffer","Asmeret Abebe","Susana Gebrekidan","Pierce Cunningham","Jackson Paslay","Surafel Zeleke","Issie Ventura","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180490","Nyamal Changson","Em Powers","Amy Kim","Juliann Seeley","May Utonwa Oji","Elijah Schipper","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7180497","Amy Kim","Em Powers","Nyamal Changson","Juliann Seeley","Elijah Schipper","May Utonwa Oji","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7180499","Juliann Seeley","","","","","","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Anna Pirrung","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180505","Juliann Seeley","Amy Kim","Em Powers","Nyamal Changson","Elijah Schipper","May Utonwa Oji","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Anna Pirrung","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180509","Juliann Seeley","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7180510","Em Powers","Amy Kim","Elijah Schipper","Juliann Seeley","Nyamal Changson","May Utonwa Oji","","","","","","","Pierce Cunningham","Susana Gebrekidan","Asmeret Abebe","Issie Ventura","Gracen Juffer","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180559","Em Powers","Nyamal Changson","Amy Kim","May Utonwa Oji","Juliann Seeley","Elijah Schipper","","","","","","","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Anushra Shrestha","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya"
"7180573","May Utonwa Oji","Em Powers","Nyamal Changson","Juliann Seeley","Amy Kim","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Anna Pirrung","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180589","Amy Kim","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Em Powers","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Hawi Meshessha","Abigail Grace Smith","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180606","Amy Kim","Juliann Seeley","Em Powers","Elijah Schipper","Nyamal Changson","May Utonwa Oji","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Abigail Grace Smith","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180636","Amy Kim","Em Powers","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Elijah Schipper","","","","","","","","","","","","","","Raleigh Lunderman","Isha Hooda","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya"
"7180663","Juliann Seeley","","","","","","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Abigail Grace Smith","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180664","Juliann Seeley","May Utonwa Oji","Em Powers","Elijah Schipper","Nyamal Changson","Amy Kim","Natneal Goitom","Elliana Pulse","Hawi Meshessha","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180665","Juliann Seeley","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7180668","May Utonwa Oji","Em Powers","Amy Kim","Nyamal Changson","Juliann Seeley","Elijah Schipper","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180669","May Utonwa Oji","Em Powers","Nyamal Changson","Elijah Schipper","Juliann Seeley","Amy Kim","","","","","","","","","","","","","","Avery Gilman","Isha Hooda","Raleigh Lunderman","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7180677","Amy Kim","","","","","","","","","","","","","","","","","","","Avery Gilman","Raleigh Lunderman","Isha Hooda","Domanic Dick","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7180682","Amy Kim","Juliann Seeley","Em Powers","Elijah Schipper","","","","","","","","","Gracen Juffer","Issie Ventura","Susana Gebrekidan","Asmeret Abebe","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180733","Nyamal Changson","May Utonwa Oji","Amy Kim","Elijah Schipper","Juliann Seeley","Em Powers","Hawi Meshessha","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Nardos Semagne","Suyash SR Thapaliya","Hiwote Hailu","Anushra Shrestha"
"7180735","Nyamal Changson","May Utonwa Oji","Em Powers","Amy Kim","Juliann Seeley","Elijah Schipper","Hawi Meshessha","Abigail Grace Smith","Lydia Valenzuela-Rylaarsdam","Elliana Pulse","Natneal Goitom","Anna Pirrung","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya","Anushra Shrestha"
"7180749","Juliann Seeley","","","","","","Elliana Pulse","","","","","","","","","","","","","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","","","",""
"7180774","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Em Powers","Amy Kim","Elijah Schipper","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Elliana Pulse","Natneal Goitom","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7180779","Juliann Seeley","","","","","","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180786","Juliann Seeley","Amy Kim","May Utonwa Oji","","","","Anna Pirrung","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180793","Juliann Seeley","Amy Kim","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Em Powers","Elliana Pulse","Anna Pirrung","Natneal Goitom","Abigail Grace Smith","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180794","Juliann Seeley","Amy Kim","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Em Powers","Elliana Pulse","Anna Pirrung","Natneal Goitom","Abigail Grace Smith","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180806","Nyamal Changson","May Utonwa Oji","Em Powers","Amy Kim","Juliann Seeley","Elijah Schipper","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Elliana Pulse","Natneal Goitom","Abigail Grace Smith","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7180862","Amy Kim","Elijah Schipper","Em Powers","Juliann Seeley","May Utonwa Oji","Nyamal Changson","","","","","","","Gracen Juffer","Jackson Paslay","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180878","Em Powers","Juliann Seeley","Elijah Schipper","Amy Kim","Nyamal Changson","May Utonwa Oji","","","","","","","","","","","","","","Domanic Dick","Raleigh Lunderman","Avery Gilman","Isha Hooda","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7180947","","","","","","","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Gracen Juffer","Pierce Cunningham","Issie Ventura","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Anushra Shrestha","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya"
"7180976","Nyamal Changson","May Utonwa Oji","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","Hawi Meshessha","Natneal Goitom","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Nardos Semagne","Hiwote Hailu","Suyash SR Thapaliya",""
"7180998","Nyamal Changson","May Utonwa Oji","Amy Kim","Juliann Seeley","Elijah Schipper","Em Powers","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Natneal Goitom","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7181059","May Utonwa Oji","Nyamal Changson","Em Powers","Amy Kim","Juliann Seeley","Elijah Schipper","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7181084","May Utonwa Oji","Amy Kim","Em Powers","Nyamal Changson","Juliann Seeley","Elijah Schipper","","","","","","","Surafel Zeleke","Asmeret Abebe","Pierce Cunningham","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7181143","Nyamal Changson","May Utonwa Oji","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Gracen Juffer","Issie Ventura","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7181152","Amy Kim","Elijah Schipper","Juliann Seeley","Nyamal Changson","Em Powers","May Utonwa Oji","","","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Suyash SR Thapaliya","Anushra Shrestha","Hiwote Hailu","Nardos Semagne"
"7181197","Juliann Seeley","Amy Kim","Em Powers","Nyamal Changson","May Utonwa Oji","Elijah Schipper","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","Hawi Meshessha","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181211","","","","","","","Natneal Goitom","Hawi Meshessha","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181213","Juliann Seeley","Amy Kim","Elijah Schipper","Em Powers","Nyamal Changson","May Utonwa Oji","Abigail Grace Smith","Elliana Pulse","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Natneal Goitom","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181294","Elijah Schipper","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Amy Kim","Em Powers","","","","","","","Asmeret Abebe","Pierce Cunningham","Gracen Juffer","Surafel Zeleke","Issie Ventura","Jackson Paslay","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7181371","Em Powers","Amy Kim","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Natneal Goitom","Anna Pirrung","Elliana Pulse","","","","","","","","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","Anushra Shrestha","Hiwote Hailu","Nardos Semagne","Suyash SR Thapaliya"
"7181604","Juliann Seeley","Em Powers","Amy Kim","Elijah Schipper","Nyamal Changson","May Utonwa Oji","","","","","","","Gracen Juffer","Susana Gebrekidan","Asmeret Abebe","Issie Ventura","Pierce Cunningham","Surafel Zeleke","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181612","Amy Kim","Nyamal Changson","Elijah Schipper","May Utonwa Oji","Em Powers","Juliann Seeley","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7181714","Elijah Schipper","Em Powers","Amy Kim","Juliann Seeley","May Utonwa Oji","Nyamal Changson","","","","","","","Issie Ventura","Surafel Zeleke","Asmeret Abebe","Jackson Paslay","Gracen Juffer","Pierce Cunningham","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7181731","May Utonwa Oji","Em Powers","Nyamal Changson","Elijah Schipper","Amy Kim","Juliann Seeley","Lydia Valenzuela-Rylaarsdam","Anna Pirrung","Elliana Pulse","Hawi Meshessha","Abigail Grace Smith","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181754","Nyamal Changson","May Utonwa Oji","Em Powers","Juliann Seeley","Elijah Schipper","Amy Kim","","","","","","","Jackson Paslay","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181788","Em Powers","Nyamal Changson","Amy Kim","May Utonwa Oji","Juliann Seeley","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Elliana Pulse","Anna Pirrung","Hawi Meshessha","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181830","Nyamal Changson","Juliann Seeley","Em Powers","May Utonwa Oji","Amy Kim","Elijah Schipper","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Hawi Meshessha","Elliana Pulse","Anna Pirrung","Natneal Goitom","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7181840","Em Powers","Amy Kim","May Utonwa Oji","Juliann Seeley","Nyamal Changson","Elijah Schipper","","","","","","","","","","","","","","Raleigh Lunderman","Isha Hooda","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181873","Em Powers","Juliann Seeley","Nyamal Changson","Amy Kim","Elijah Schipper","May Utonwa Oji","","","","","","","Asmeret Abebe","Gracen Juffer","Issie Ventura","Surafel Zeleke","Pierce Cunningham","Susana Gebrekidan","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7181884","Juliann Seeley","Em Powers","Elijah Schipper","Nyamal Changson","Amy Kim","May Utonwa Oji","","","","","","","","","","","","","","Raleigh Lunderman","Avery Gilman","","","Annie Johnston / Prince Adhikari","I do not wish to cast a vote for Secretary","","","",""
"7181942","Juliann Seeley","Em Powers","Nyamal Changson","Elijah Schipper","Amy Kim","May Utonwa Oji","","","","","","","Asmeret Abebe","Gracen Juffer","Surafel Zeleke","Pierce Cunningham","Issie Ventura","Jackson Paslay","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181944","Nyamal Changson","Amy Kim","Em Powers","May Utonwa Oji","Elijah Schipper","Juliann Seeley","Abigail Grace Smith","Natneal Goitom","Elliana Pulse","Hawi Meshessha","Anna Pirrung","Lydia Valenzuela-Rylaarsdam","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181950","Amy Kim","Em Powers","Juliann Seeley","Elijah Schipper","May Utonwa Oji","Nyamal Changson","","","","","","","Surafel Zeleke","Susana Gebrekidan","Asmeret Abebe","Jackson Paslay","Gracen Juffer","Issie Ventura","Pierce Cunningham","","","","","I do not want to vote for a ticket","I do not wish to cast a vote for Secretary","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7181953","Amy Kim","May Utonwa Oji","Nyamal Changson","Juliann Seeley","Em Powers","Elijah Schipper","","","","","","","Susana Gebrekidan","Asmeret Abebe","Surafel Zeleke","Issie Ventura","Gracen Juffer","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7181967","","","","","","","","","","","","","Surafel Zeleke","Asmeret Abebe","Susana Gebrekidan","Gracen Juffer","Issie Ventura","Pierce Cunningham","Jackson Paslay","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","Hiwote Hailu","Nardos Semagne","Anushra Shrestha","Suyash SR Thapaliya"
"7182094","Elijah Schipper","Amy Kim","Em Powers","Juliann Seeley","May Utonwa Oji","Nyamal Changson","","","","","","","Gracen Juffer","Pierce Cunningham","Asmeret Abebe","Issie Ventura","Jackson Paslay","Surafel Zeleke","Susana Gebrekidan","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182109","Nyamal Changson","May Utonwa Oji","Juliann Seeley","Em Powers","Elijah Schipper","Amy Kim","","","","","","","","","","","","","","Isha Hooda","Raleigh Lunderman","Avery Gilman","Domanic Dick","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182165","Elijah Schipper","Amy Kim","May Utonwa Oji","Em Powers","Nyamal Changson","Juliann Seeley","Lydia Valenzuela-Rylaarsdam","Abigail Grace Smith","Anna Pirrung","Elliana Pulse","Natneal Goitom","Hawi Meshessha","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
"7182180","","","","","","","Natneal Goitom","Hawi Meshessha","","","","","","","","","","","","","","","","Annie Johnston / Prince Adhikari","Carson Steichen","","","",""
